,iata,airport,city,state,country,lat,long,cnt,text
106,EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856,529,"Mahlon Sweet  Eugene, OR Arrivals: 529"
107,SAV,Savannah International,Savannah,GA,USA,32.12758333,-81.20213889,524,"Savannah International Savannah, GA Arrivals: 524"
108,LBB,Lubbock International,Lubbock,TX,USA,33.66363889,-101.8227778,518,"Lubbock International Lubbock, TX Arrivals: 518"
109,CID,Eastern Iowa ,Cedar Rapids,IA,USA,41.88458833,-91.71087222,516,"Eastern Iowa  Cedar Rapids, IA Arrivals: 516"
110,GSP,Greenville-Spartanburg,Greer,SC,USA,34.89566722,-82.21885833,479,"Greenville-Spartanburg Greer, SC Arrivals: 479"
111,GSO,Piedmont Triad International,Greensboro,NC,USA,36.09774694,-79.9372975,472,"Piedmont Triad International Greensboro, NC Arrivals: 472"
112,ISP,Long Island - MacArthur,Islip,NY,USA,40.7952425,-73.10021194,460,"Long Island - MacArthur Islip, NY Arrivals: 460"
113,MLI,Quad City,Moline,IL,USA,41.44852639,-90.50753917,451,"Quad City Moline, IL Arrivals: 451"
114,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556,448,"Asheville Regional Asheville, NC Arrivals: 448"
115,CAK,Akron-Canton Regional,Akron,OH,USA,40.91631194,-81.44246556,445,"Akron-Canton Regional Akron, OH Arrivals: 445"
116,BMI,Central Illinois Regional,Bloomington,IL,USA,40.47798556,-88.91595278,426,"Central Illinois Regional Bloomington, IL Arrivals: 426"
117,HRL,Valley International,Harlingen,TX,USA,26.22850611,-97.65439389,414,"Valley International Harlingen, TX Arrivals: 414"
118,VPS,Eglin Air Force Base,Valparaiso,FL,USA,30.48325,-86.5254,410,"Eglin Air Force Base Valparaiso, FL Arrivals: 410"
119,SHV,Shreveport Regional,Shreveport,LA,USA,32.4466275,-93.82559833,410,"Shreveport Regional Shreveport, LA Arrivals: 410"
120,FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889,409,"Hector International Fargo, ND Arrivals: 409"
121,HDN,Yampa Valley,Hayden,CO,USA,40.48118028,-107.2176597,408,"Yampa Valley Hayden, CO Arrivals: 408"
122,MFR,Rogue Valley International,Medford,OR,USA,42.37422778,-122.8734978,404,"Rogue Valley International Medford, OR Arrivals: 404"
123,PIA,Greater Peoria Regional,Peoria,IL,USA,40.66424333,-89.69330556,404,"Greater Peoria Regional Peoria, IL Arrivals: 404"
124,LRD,Laredo International,Laredo,TX,USA,27.54373861,-99.46154361,396,"Laredo International Laredo, TX Arrivals: 396"
125,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,393,"Austin-Bergstrom International Austin, TX Arrivals: 393"
126,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722,382,"Abilene Regional Abilene, TX Arrivals: 382"
127,SGF,Springfield-Branson Regional,Springfield,MO,USA,37.24432611,-93.38685806,381,"Springfield-Branson Regional Springfield, MO Arrivals: 381"
128,FNT,Bishop,Flint,MI,USA,42.96550333,-83.74345639,379,"Bishop Flint, MI Arrivals: 379"
129,TRI,Tri-Cities Regional,Bristol,TN,USA,36.47521417,-82.40742056,347,"Tri-Cities Regional Bristol, TN Arrivals: 347"
130,GRK,Robert Gray AAF,Killeen,TX,USA,31.06489778,-97.82779778,346,"Robert Gray AAF Killeen, TX Arrivals: 346"
131,CHS,Charleston AFB/International,Charleston,SC,USA,32.89864639,-80.04050583,338,"Charleston AFB/International Charleston, SC Arrivals: 338"
132,GRB,Austin Straubel International,Green Bay,WI,USA,44.48507333,-88.12959,333,"Austin Straubel International Green Bay, WI Arrivals: 333"
133,RDM,Roberts ,Redmond,OR,USA,44.25406722,-121.1499633,328,"Roberts  Redmond, OR Arrivals: 328"
134,CSG,Columbus Metropolitan,Columbus,GA,USA,32.51633333,-84.93886111,324,"Columbus Metropolitan Columbus, GA Arrivals: 324"
135,SBN,South Bend Regional,South Bend,IN,USA,41.70895361,-86.31847417,324,"South Bend Regional South Bend, IN Arrivals: 324"
136,BOI,Boise Air Terminal,Boise,ID,USA,43.56444444,-116.2227778,319,"Boise Air Terminal Boise, ID Arrivals: 319"
137,MYR,Myrtle Beach International,Myrtle Beach,SC,USA,33.67975,-78.92833333,314,"Myrtle Beach International Myrtle Beach, SC Arrivals: 314"
138,MOT,Minot International,Minot,ND,USA,48.25937778,-101.2803339,310,"Minot International Minot, ND Arrivals: 310"
139,CMI,University of Illinois-Willard,Champaign/Urbana,IL,USA,40.03925,-88.27805556,306,"University of Illinois-Willard Champaign/Urbana, IL Arrivals: 306"
140,ROA,Roanoke Regional/ Woodrum ,Roanoke,VA,USA,37.32546833,-79.97542833,301,"Roanoke Regional/ Woodrum  Roanoke, VA Arrivals: 301"
141,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953,296,"Eagle County Regional Eagle, CO Arrivals: 296"
142,JAC,Jackson Hole,Jackson,WY,USA,43.60732417,-110.7377389,295,"Jackson Hole Jackson, WY Arrivals: 295"
143,BZN,Gallatin ,Bozeman,MT,USA,45.77690139,-111.1530072,288,"Gallatin  Bozeman, MT Arrivals: 288"
144,GJT,Walker ,Grand Junction,CO,USA,39.1224125,-108.5267347,285,"Walker  Grand Junction, CO Arrivals: 285"
145,BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,280,"Burbank-Glendale-Pasadena Burbank, CA Arrivals: 280"
146,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667,270,"Evansville Regional Evansville, IN Arrivals: 270"
147,GUC,Gunnison County,Gunnison,CO,USA,38.53396333,-106.9331817,270,"Gunnison County Gunnison, CO Arrivals: 270"
148,IDA,Idaho Falls Regional,Idaho Falls,ID,USA,43.51455556,-112.0701667,264,"Idaho Falls Regional Idaho Falls, ID Arrivals: 264"
149,FAT,Fresno Yosemite International,Fresno,CA,USA,36.77619444,-119.7181389,264,"Fresno Yosemite International Fresno, CA Arrivals: 264"
150,SPI,Capital,Springfield,IL,USA,39.84395194,-89.67761861,258,"Capital Springfield, IL Arrivals: 258"
151,MFE,McAllen Miller International,McAllen,TX,USA,26.17583333,-98.23861111,248,"McAllen Miller International McAllen, TX Arrivals: 248"
152,RDD,Redding Municipal,Redding,CA,USA,40.50898361,-122.2934019,248,"Redding Municipal Redding, CA Arrivals: 248"
153,GFK,Grand Forks International,Grand Forks,ND,USA,47.949255,-97.17611111,246,"Grand Forks International Grand Forks, ND Arrivals: 246"
154,FSD,Joe Foss ,Sioux Falls,SD,USA,43.58135111,-96.74170028,245,"Joe Foss  Sioux Falls, SD Arrivals: 245"
155,TWF,Joslin Field - Magic Valley,Twin Falls,ID,USA,42.48180389,-114.4877356,225,"Joslin Field - Magic Valley Twin Falls, ID Arrivals: 225"
156,SMX,Santa Maria Pub/Capt G Allan Hancock ,Santa Maria,CA,USA,34.89924833,-120.4575825,216,"Santa Maria Pub/Capt G Allan Hancock  Santa Maria, CA Arrivals: 216"
157,PIH,Pocatello Regional,Pocatello,ID,USA,42.91130556,-112.5958611,216,"Pocatello Regional Pocatello, ID Arrivals: 216"
158,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889,214,"Dothan  Dothan, AL Arrivals: 214"
159,OAJ,Albert J Ellis,Jacksonville,NC,USA,34.82916444,-77.61213778,212,"Albert J Ellis Jacksonville, NC Arrivals: 212"
160,MTJ,Montrose Regional,Montrose,CO,USA,38.50886722,-107.8938333,210,"Montrose Regional Montrose, CO Arrivals: 210"
161,BIS,Bismarck Municipal,Bismarck,ND,USA,46.77411111,-100.7467222,208,"Bismarck Municipal Bismarck, ND Arrivals: 208"
162,CPR,Natrona County Intl,Casper,WY,USA,42.90835556,-106.4644661,208,"Natrona County Intl Casper, WY Arrivals: 208"
163,TVC,Cherry Capital,Traverse City,MI,USA,44.74144472,-85.582235,201,"Cherry Capital Traverse City, MI Arrivals: 201"
164,MLU,Monroe Regional,Monroe,LA,USA,32.51086556,-92.03768778,199,"Monroe Regional Monroe, LA Arrivals: 199"
165,PSC,Tri-Cities,Pasco,WA,USA,46.26468028,-119.1190292,168,"Tri-Cities Pasco, WA Arrivals: 168"
166,MHK,Manhattan Regional,Manhattan,KS,USA,39.14096722,-96.67083278,168,"Manhattan Regional Manhattan, KS Arrivals: 168"
167,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611,168,"Alexandria International Alexandria, LA Arrivals: 168"
168,OTH,North Bend Muni,North Bend,OR,USA,43.41713889,-124.2460278,168,"North Bend Muni North Bend, OR Arrivals: 168"
169,SAF,Santa Fe Municipal,Santa Fe,NM,USA,35.61677778,-106.0881389,168,"Santa Fe Municipal Santa Fe, NM Arrivals: 168"
170,LMT,Klamath Falls International,Klamath Falls,OR,USA,42.15614361,-121.7332081,168,"Klamath Falls International Klamath Falls, OR Arrivals: 168"
171,SWF,Stewart,Newburgh,NY,USA,41.50409361,-74.10483833,159,"Stewart Newburgh, NY Arrivals: 159"
172,CHO,Charlottesville-Albermarle,Charlottesville,VA,USA,38.13863889,-78.45286111,158,"Charlottesville-Albermarle Charlottesville, VA Arrivals: 158"
173,VLD,Valdosta Regional,Valdosta,GA,USA,30.7825,-83.27672222,158,"Valdosta Regional Valdosta, GA Arrivals: 158"
174,CWA,Central Wisconsin,Mosinee,WI,USA,44.77761917,-89.66677944,156,"Central Wisconsin Mosinee, WI Arrivals: 156"
175,IYK,Inyokern,Inyokern,CA,USA,35.65884306,-117.8295122,146,"Inyokern Inyokern, CA Arrivals: 146"
176,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189,144,"Arcata Arcata/Eureka, CA Arrivals: 144"
177,BQK,Glynco Jetport,Brunswick,GA,USA,31.25902778,-81.46630556,140,"Glynco Jetport Brunswick, GA Arrivals: 140"
178,LNK,Lincoln Municipal,Lincoln,NE,USA,40.85097222,-96.75925,127,"Lincoln Municipal Lincoln, NE Arrivals: 127"
179,FWA,Fort Wayne International,Fort Wayne,IN,USA,40.97846583,-85.19514639,114,"Fort Wayne International Fort Wayne, IN Arrivals: 114"
180,COD,Yellowstone Regional,Cody,WY,USA,44.52019417,-109.0237961,112,"Yellowstone Regional Cody, WY Arrivals: 112"
181,PAH,Barkley Regional,Paducah,KY,USA,37.06083333,-88.77375,112,"Barkley Regional Paducah, KY Arrivals: 112"
182,SBP,San Luis Obispo Co-McChesney ,San Luis Obispo,CA,USA,35.23705806,-120.6423931,112,"San Luis Obispo Co-McChesney  San Luis Obispo, CA Arrivals: 112"
183,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675,112,"Wilkes-Barre/Scranton Intl Wilkes-Barre/Scranton, PA Arrivals: 112"
184,GTR,Golden Triangle Regional,Columbus-Starkville-West Point,MS,USA,33.45033444,-88.59136861,112,"Golden Triangle Regional Columbus-Starkville-West Point, MS Arrivals: 112"
185,GCC,Gillette-Campbell County,Gillette,WY,USA,44.34889806,-105.5393614,112,"Gillette-Campbell County Gillette, WY Arrivals: 112"
186,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444,112,"Craven County Regional New Bern, NC Arrivals: 112"
187,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611,112,"Bush  Augusta, GA Arrivals: 112"
188,FSM,Fort Smith Regional,Fort Smith,AR,USA,35.33659028,-94.36744111,112,"Fort Smith Regional Fort Smith, AR Arrivals: 112"
189,TYR,Tyler Pounds ,Tyler,TX,USA,32.35413889,-95.40238611,110,"Tyler Pounds  Tyler, TX Arrivals: 110"
190,HLN,Helena Regional,Helena,MT,USA,46.60681806,-111.9827503,108,"Helena Regional Helena, MT Arrivals: 108"
191,GTF,Great Falls Intl,Great Falls,MT,USA,47.48200194,-111.3706853,108,"Great Falls Intl Great Falls, MT Arrivals: 108"
192,MEI,Key ,Meridian,MS,USA,32.33313333,-88.75120556,104,"Key  Meridian, MS Arrivals: 104"
193,MQT,Marquette County Airport,,,USA,46.353639,-87.395361,104,
194,TEX,Telluride Regional,Telluride,CO,USA,37.95375861,-107.90848,104,"Telluride Regional Telluride, CO Arrivals: 104"
195,CHA,Lovell ,Chattanooga,TN,USA,35.03526833,-85.20378778,104,"Lovell  Chattanooga, TN Arrivals: 104"
196,LWS,Lewiston-Nez Perce County,Lewiston,ID,USA,46.37449806,-117.0153944,102,"Lewiston-Nez Perce County Lewiston, ID Arrivals: 102"
197,CDC,Cedar City Muni,Cedar City,UT,USA,37.70097028,-113.098575,96,"Cedar City Muni Cedar City, UT Arrivals: 96"
198,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861,93,"Albany Cty Albany, NY Arrivals: 93"
199,BTV,Burlington International,Burlington,VT,USA,44.47300361,-73.1503125,91,"Burlington International Burlington, VT Arrivals: 91"
200,FCA,Glacier Park Intl,Kalispell,MT,USA,48.31140472,-114.2550694,90,"Glacier Park Intl Kalispell, MT Arrivals: 90"
201,MLB,Melbourne International ,Melbourne,FL,USA,28.10275,-80.64580556,74,"Melbourne International  Melbourne, FL Arrivals: 74"
202,DAB,Daytona Beach International,Daytona Beach,FL,USA,29.17991667,-81.05805556,72,"Daytona Beach International Daytona Beach, FL Arrivals: 72"
203,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167,60,"Lehigh Valley International Allentown, PA Arrivals: 60"
204,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861,58,"Duluth International Duluth, MN Arrivals: 58"
205,CYS,Cheyenne,Cheyenne,WY,USA,41.1557225,-104.8118381,56,"Cheyenne Cheyenne, WY Arrivals: 56"
206,RKS,Rock Springs-Sweetwater County,Rock Springs,WY,USA,41.5942175,-109.0651928,56,"Rock Springs-Sweetwater County Rock Springs, WY Arrivals: 56"
207,LWB,Greenbrier Valley,Lewisburg,WV,USA,37.85830556,-80.39947222,56,"Greenbrier Valley Lewisburg, WV Arrivals: 56"
208,CRW,Yeager,Charleston,WV,USA,38.37315083,-81.59318972,56,"Yeager Charleston, WV Arrivals: 56"
209,BLI,Bellingham Intl,Bellingham,WA,USA,48.79275,-122.5375278,56,"Bellingham Intl Bellingham, WA Arrivals: 56"
210,MMH,Mammoth Yosemite,Mammoth Lakes,CA,USA,37.62404861,-118.8377722,56,"Mammoth Yosemite Mammoth Lakes, CA Arrivals: 56"
211,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556,56,"Outagamie County Regional Appleton, WI Arrivals: 56"
212,BKG,Branson Airport,Hollister,MO,USA,36.385913,-92.548828,56,"Branson Airport Hollister, MO Arrivals: 56"
213,PIE,St. Petersburg-Clearwater International,St. Petersburg,FL,USA,27.91076333,-82.68743944,52,"St. Petersburg-Clearwater International St. Petersburg, FL Arrivals: 52"
214,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,USA,33.98879611,-98.49189333,50,"Sheppard AFB/Wichita Falls Municipal Wichita Falls, TX Arrivals: 50"
215,FAY,Fayetteville Municipal,Fayetteville,NC,USA,34.99147222,-78.88,50,"Fayetteville Municipal Fayetteville, NC Arrivals: 50"
216,EAU,Chippewa Valley Regional,Eau Claire,WI,USA,44.86525722,-91.48507194,48,"Chippewa Valley Regional Eau Claire, WI Arrivals: 48"
217,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722,48,"Dubuque Municipal Dubuque, IA Arrivals: 48"
218,RST,Rochester International,Rochester,MN,USA,43.90882639,-92.49798722,37,"Rochester International Rochester, MN Arrivals: 37"
219,UTM,Tunica Municipal Airport,Tunica,MS,USA,34.681499,-90.348816,32,"Tunica Municipal Airport Tunica, MS Arrivals: 32"
220,BIL,Billings Logan Intl,Billings,MT,USA,45.8076625,-108.5428611,23,"Billings Logan Intl Billings, MT Arrivals: 23"
